,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,8:44,Falcons,Maurice Smith 1 yard rush (Jay Feely kick),0,7
1,1.0,2:43,Saints,Willie Jackson 12 yard pass from Deuce McAllister (John Carney kick),7,7
2,1.0,1:45,Saints,Ricky Williams 1 yard rush (John Carney kick),14,7
3,2.0,7:28,Falcons,Jay Feely 22 yard field goal,14,10
4,4.0,12:20,Saints,Joe Horn 50 yard pass from Aaron Brooks (John Carney kick),21,10
5,4.0,8:16,Saints,Deuce McAllister 54 yard rush (John Carney kick),28,10
