,Quarter,Tm,Detail,NYJ,HOU
0,2.0,Oilers,Don Hardeman 1 yard rush (Skip Butler kick),0,7
1,4.0,Oilers,Dan Pastorini 1 yard rush (Skip Butler kick),0,14
2,4.0,Oilers,Rob Carpenter 1 yard rush,0,20
