,Quarter,Tm,Detail,HOU,NYG
0,1.0,Giants,Joe Danelo 26 yard field goal,0,3
1,2.0,Oilers,Gary Allen 23 yard pass from Gifford Nielsen (Florian Kempf kick),7,3
2,4.0,Oilers,Dave Casper 8 yard pass from Archie Manning (Florian Kempf kick),14,3
3,4.0,Giants,Butch Woolfolk 2 yard rush (Joe Danelo kick),14,10
4,4.0,Giants,Butch Woolfolk 40 yard pass from Scott Brunner (Joe Danelo kick),14,17
