,Quarter,Tm,Detail,MIN,RAM
0,2.0,Vikings,Fred Cox 36 yard field goal,3,0
1,2.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),10,0
2,2.0,Rams,James Harris 1 yard rush,10,6
3,2.0,Vikings,Chuck Foreman 12 yard pass from Fran Tarkenton (Fred Cox kick),17,6
4,4.0,Rams,James Harris 1 yard rush (David Ray kick),17,13
5,4.0,Rams,Jack Snow 8 yard pass from James Harris (David Ray kick),17,20
