,Quarter,Tm,Detail,CHI,CIN
0,2.0,Reds,Algy Clark 11 yard field goal,0,3
1,2.0,Bears,Beattie Feathers 2 yard rush (Carl Brumbaugh kick),7,3
2,4.0,Bears,Bronko Nagurski 6 yard rush (Carl Brumbaugh kick),14,3
3,4.0,Bears,Red Grange 2 yard rush (Carl Brumbaugh kick),21,3
