,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Horst Muhlmann 20 yard field goal,0,3
1,1.0,Bengals,Horst Muhlmann 19 yard field goal,0,6
2,2.0,Bengals,Horst Muhlmann 20 yard field goal,0,9
3,3.0,Bengals,Boobie Clark 3 yard rush (Horst Muhlmann kick),0,16
4,4.0,Bengals,Horst Muhlmann 41 yard field goal,0,19
5,4.0,Steelers,Preston Pearson 1 yard rush (Roy Gerela kick),7,19
