,Quarter,Tm,Detail,BAL,RAM
0,1.0,Rams,Vitamin Smith 13 yard pass from Norm Van Brocklin (Tom Fears kick),0,7
1,1.0,Rams,Dan Towler 1 yard rush (Tom Fears kick),0,14
2,2.0,Rams,Tom Fears 10 yard field goal,0,17
3,2.0,Rams,Tank Younger 1 yard rush (Tom Fears kick),0,24
4,2.0,Rams,Tom Fears 5 yard pass from Norm Van Brocklin (Elroy Hirsch kick),0,31
5,3.0,Rams,Dan Towler 2 yard rush (Elroy Hirsch kick),0,38
6,3.0,Rams,Dan Towler 14 yard pass from Norm Van Brocklin (Elroy Hirsch kick),0,45
7,4.0,Colts,"Safety, Hock tackled by Donovan in end zone",2,45
