,Quarter,Tm,Detail,RAI,DEN
0,2.0,Broncos,Rich Karlis 27 yard field goal,0,3
1,2.0,Raiders,Todd Christensen 19 yard pass from Jim Plunkett (Chris Bahr kick),7,3
2,2.0,Broncos,Rich Karlis 32 yard field goal,7,6
3,3.0,Broncos,Rich Karlis 19 yard field goal,7,9
4,3.0,Raiders,Chris Bahr 27 yard field goal,10,9
5,3.0,Broncos,Gerald Willhite 4 yard rush (Rich Karlis kick),10,16
6,4.0,Raiders,Chris Bahr 50 yard field goal,13,16
