,Quarter,Tm,Detail,NWE,MIA
0,2,Patriots,John Smith 23 yard field goal,3,0
1,2,Patriots,John Smith 33 yard field goal,6,0
2,3,Dolphins,Uwe von Schamann 27 yard field goal,6,3
3,3,Dolphins,Uwe von Schamann 24 yard field goal,6,6
4,4,Patriots,Russ Francis 38 yard pass from Matt Cavanaugh (John Smith kick),13,6
5,4,Dolphins,Nat Moore 8 yard pass from David Woodley (Uwe von Schamann kick),13,13
6,OT,Dolphins,Uwe von Schamann 23 yard field goal,13,16
