,Quarter,Time,Tm,Detail,OAK,KAN
0,1,,Chiefs,Lake Dawson 4 yard pass from Steve Bono (Lin Elliott kick),0,7
1,2,,Raiders,Harvey Williams 1 yard rush (Cole Ford kick),7,7
2,2,,Raiders,Harvey Williams 1 yard rush (Cole Ford kick),14,7
3,3,,Raiders,Cole Ford 33 yard field goal,17,7
4,4,,Chiefs,Willie Davis 19 yard pass from Steve Bono (Lin Elliott kick),17,14
5,4,,Chiefs,Lin Elliott 35 yard field goal,17,17
6,OT,,Chiefs,James Hasty 64 yard interception return,17,23
