,Quarter,Tm,Detail,ATL,MIN
0,1.0,Vikings,Dave Osborn 10 yard rush (Fred Cox kick),0,7
1,2.0,Falcons,Art Malone 1 yard rush (Nick Mike-Mayer kick),7,7
2,2.0,Vikings,Fred Cox 21 yard field goal,7,10
3,3.0,Vikings,Dave Osborn 5 yard rush,7,16
4,4.0,Falcons,Nick Mike-Mayer 36 yard field goal,10,16
5,4.0,Vikings,Stu Voigt 10 yard pass from Bob Berry (Fred Cox kick),10,23
