,Quarter,Time,Tm,Detail,NOR,ARI
0,1.0,2:31,Saints,Lamont Hall 1 yard pass from Jeff Blake (Doug Brien kick),7,0
1,1.0,0:12,Cardinals,Terry Hardy 3 yard pass from Jake Plummer (Cary Blanchard kick),7,7
2,2.0,5:23,Cardinals,Cary Blanchard 34 yard field goal,7,10
3,3.0,5:07,Saints,Keith Mitchell 40 yard interception return (Doug Brien kick),14,10
4,4.0,10:32,Saints,Ricky Williams 1 yard rush (Doug Brien kick),21,10
