,Quarter,Time,Tm,Detail,MIN,PIT
0,1.0,1:28,Vikings,Gary Anderson 25 yard field goal,3,0
1,2.0,10:26,Steelers,Jerome Bettis 1 yard rush (Kris Brown kick),3,7
2,3.0,7:04,Steelers,Troy Edwards 12 yard rush (Kris Brown kick),3,14
3,3.0,0:44,Steelers,Amos Zereoue 4 yard rush (Kris Brown kick),3,21
4,4.0,6:29,Vikings,Michael Bennett 80 yard pass from Todd Bouman (Gary Anderson kick),10,21
5,4.0,3:22,Vikings,Randy Moss 12 yard pass from Todd Bouman (pass failed),16,21
