,Quarter,Time,Tm,Detail,KAN,WAS
0,1.0,11:30,Chiefs,Ryan Succop 33 yard field goal,3,0
1,1.0,5:52,Chiefs,Jamaal Charles 2 yard rush (Ryan Succop kick),10,0
2,1.0,1:02,Chiefs,Dwayne Bowe 21 yard pass from Alex Smith (Ryan Succop kick),17,0
3,2.0,11:27,Chiefs,Jamaal Charles 5 yard pass from Alex Smith (Ryan Succop kick),24,0
4,2.0,9:45,Chiefs,Dexter McCluster 74 yard punt return (Ryan Succop kick),31,0
5,2.0,1:07,Redskins,Logan Paulsen 7 yard pass from Robert Griffin III (Kai Forbath kick),31,7
6,2.0,0:53,Chiefs,Quintin Demps 95 yard kickoff return (Ryan Succop kick),38,7
7,2.0,0:00,Redskins,Kai Forbath 50 yard field goal,38,10
8,4.0,13:37,Chiefs,Knile Davis 17 yard rush (Ryan Succop kick),45,10
