,Quarter,Time,Tm,Detail,SDG,CIN
0,1.0,0:00,Chargers,Gary Brown 1 yard rush (Greg Davis kick),7,0
1,2.0,0:00,Bengals,Doug Pelfrey 27 yard field goal,7,3
2,2.0,0:00,Bengals,Carl Pickens 15 yard pass from Jeff Blake (Doug Pelfrey kick),7,10
3,2.0,0:00,Chargers,Eric Metcalf 85 yard punt return (Greg Davis kick),14,10
4,2.0,3:02,Bengals,Brian Milne 2 yard rush (Doug Pelfrey kick),14,17
5,2.0,0:00,Bengals,John Copeland 25 yard defensive fumble return (Doug Pelfrey kick),14,24
6,2.0,1:20,Chargers,Greg Davis 45 yard field goal,17,24
7,3.0,0:00,Bengals,Corey Dillon 71 yard rush (Doug Pelfrey kick),17,31
8,4.0,0:00,Chargers,Eric Metcalf 67 yard punt return (Greg Davis kick),24,31
9,4.0,0:00,Bengals,Jeff Blake 13 yard rush (Doug Pelfrey kick),24,38
10,4.0,0:00,Chargers,Charlie Jones 44 yard pass from Craig Whelihan (Greg Davis kick),31,38
