,Quarter,Tm,Detail,STL,DAL
0,1.0,Cardinals,Jim Bakken 26 yard field goal,3,0
1,2.0,Cowboys,Tony Dorsett 1 yard rush (Efren Herrera kick),3,7
2,2.0,Cowboys,Billy Joe DuPree 2 yard pass from Roger Staubach (Efren Herrera kick),3,14
3,3.0,Cardinals,Wayne Morris 1 yard rush (Jim Bakken kick),10,14
4,4.0,Cowboys,Efren Herrera 21 yard field goal,10,17
5,4.0,Cardinals,Mel Gray 49 yard pass from Jim Hart (Jim Bakken kick),17,17
6,4.0,Cardinals,Jackie Smith 3 yard pass from Jim Hart (Jim Bakken kick),24,17
