,Quarter,Tm,Detail,NWE,HOU
0,1.0,Patriots,Steve Grogan 1 yard rush,6,0
1,1.0,Oilers,Mike Rozier 1 yard rush (Tony Zendejas kick),6,7
2,2.0,Oilers,Allen Pinkett 51 yard pass from Cody Carlson (Tony Zendejas kick),6,14
3,3.0,Oilers,Allen Pinkett 22 yard pass from Cody Carlson (Tony Zendejas kick),6,21
4,4.0,Oilers,Tony Zendejas 49 yard field goal,6,24
5,4.0,Oilers,Allen Pinkett 1 yard rush (Tony Zendejas kick),6,31
