,Quarter,Tm,Detail,BAL,NWE
0,1,Colts,Raul Allegre 25 yard field goal,3,0
1,2,Patriots,Stephen Starring 73 yard pass from Steve Grogan,3,6
2,2,Patriots,Stanley Morgan 50 yard pass from Steve Grogan (John Smith kick),3,13
3,2,Colts,Bernard Henry 16 yard pass from Mike Pagel (Raul Allegre kick),10,13
4,2,Colts,Raul Allegre 52 yard field goal,13,13
5,3,Patriots,John Smith 39 yard field goal,13,16
6,3,Colts,Bernard Henry 5 yard pass from Mike Pagel (Raul Allegre kick),20,16
7,4,Patriots,Robert Weathers 9 yard rush (John Smith kick),20,23
8,4,Colts,Raul Allegre 33 yard field goal,23,23
9,OT,Colts,Johnie Cooks 52 yard defensive fumble return,29,23
