,Quarter,Tm,Detail,BKN,NYG
0,1.0,Giants,Ward Cuff 14 yard rush (Ward Cuff kick),0,7
1,2.0,Giants,Bill Paschal 8 yard rush (Ward Cuff kick),0,14
2,2.0,Giants,Ward Cuff 37 yard field goal,0,17
3,3.0,Dodgers,Bruiser Kinard 4 yard pass from Pug Manders (Bruiser Kinard kick),7,17
4,3.0,Giants,Bill Paschal 25 yard pass from Tuffy Leemans (Ward Cuff kick),7,24
