,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Don Cockroft 19 yard field goal,0,3
1,3.0,Browns,Don Cockroft 32 yard field goal,0,6
2,4.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),0,13
3,4.0,Browns,Leroy Kelly 14 yard rush (Don Cockroft kick),0,20
