,Quarter,Time,Tm,Detail,NWE,BUF
0,1.0,,Bills,Steve Christie 51 yard field goal,0,3
1,1.0,,Patriots,Matt Bahr 29 yard field goal,3,3
2,2.0,,Patriots,Ben Coates 6 yard pass from Drew Bledsoe (Matt Bahr kick),10,3
3,2.0,,Bills,Bill Brooks 32 yard pass from Jim Kelly,10,9
4,2.0,,Bills,Steve Christie 48 yard field goal,10,12
5,2.0,,Bills,Cornelius Bennett 69 yard interception return (Steve Christie kick),10,19
6,3.0,,Patriots,Matt Bahr 43 yard field goal,13,19
7,3.0,,Bills,Thurman Thomas 1 yard rush (run failed),13,25
8,4.0,3:59,Patriots,Ben Coates 4 yard pass from Drew Bledsoe (Matt Bahr kick),20,25
9,4.0,3:59,Patriots,Ben Coates 15 yard pass from Drew Bledsoe (Curtis Martin pass from Drew Bledsoe),28,25
10,4.0,3:59,Patriots,Chris Slade 27 yard interception return (Matt Bahr kick),35,25
