,Quarter,Time,Tm,Detail,NYG,TAM
0,1.0,11:37,Giants,Christian Peter 38 yard defensive fumble return (Brad Daluiso kick),7,0
1,2.0,14:15,Buccaneers,Martin Gramatica 23 yard field goal,7,3
2,2.0,0:16,Buccaneers,Dave Moore 1 yard pass from Trent Dilfer (Martin Gramatica kick),7,10
3,3.0,3:31,Giants,Andre Weathers 8 yard interception return (Brad Daluiso kick),14,10
4,3.0,0:15,Buccaneers,Martin Gramatica 36 yard field goal,14,13
5,4.0,12:10,Giants,Brad Daluiso 36 yard field goal,17,13
