,Quarter,Tm,Detail,RCH,CAN
0,2.0,Bulldogs,Giff Zimmerman 6 yard rush (Pete Henry kick),0,7
1,2.0,Bulldogs,Ben Jones unknown yard rush (Pete Henry kick),0,14
2,4.0,Jeffersons,Shag Sheard 35 yard pass from Lou Smyth (Tex Grigg kick),7,14
