,Quarter,Time,Tm,Detail,CLE,DEN
0,1.0,,Broncos,Jerry Evans 1 yard pass from John Elway (Jason Elam kick),0,7
1,2.0,,Browns,Matt Stover 43 yard field goal,3,7
2,2.0,,Browns,Matt Stover 45 yard field goal,6,7
3,2.0,,Broncos,Leonard Russell 1 yard rush (Jason Elam kick),6,14
4,3.0,,Broncos,Jason Elam 27 yard field goal,6,17
5,3.0,,Broncos,Jason Elam 32 yard field goal,6,20
6,4.0,,Browns,Mark Carrier 6 yard pass from Mark Rypien (Derrick Alexander pass from Mark Rypien),14,20
7,4.0,,Broncos,Glyn Milburn 17 yard pass from John Elway (pass failed),14,26
