,Quarter,Tm,Detail,BAL,SEA
0,1.0,Colts,Don McCauley 6 yard rush (Toni Linhart kick),7,0
1,2.0,Seahawks,Don Testerman 1 yard pass from Jim Zorn (John Leypoldt kick),7,7
2,2.0,Colts,Roosevelt Leaks 10 yard rush (Toni Linhart kick),14,7
3,3.0,Colts,"Safety, Nettles blocked punt out of end zone",16,7
4,3.0,Colts,Toni Linhart 38 yard field goal,19,7
5,4.0,Colts,Toni Linhart 42 yard field goal,22,7
6,4.0,Seahawks,Autry Beamon 17 yard blocked punt return (John Leypoldt kick),22,14
7,4.0,Colts,Roger Carr 21 yard pass from Bert Jones (Toni Linhart kick),29,14
