,Quarter,Tm,Detail,CRD,PIT
0,1.0,Steelers,Dean Derby 2 yard rush,0,6
1,1.0,Cardinals,Pat Summerall 33 yard field goal,3,6
2,1.0,Steelers,Billy Wells 96 yard kickoff return,3,12
3,2.0,Cardinals,Pat Summerall 27 yard field goal,6,12
4,2.0,Steelers,Bob O'Neil 23 yard blocked punt return (Jug Girard kick),6,19
5,2.0,Steelers,Earl Morrall 1 yard rush (Jug Girard kick),6,26
6,4.0,Steelers,Jug Girard 15 yard field goal,6,29
7,4.0,Cardinals,Jimmy Sears 49 yard rush (Pat Summerall kick),13,29
8,4.0,Cardinals,Lamar McHan 1 yard rush (Pat Summerall kick),20,29
