,Quarter,Tm,Detail,SDG,OAK
0,1.0,Raiders,Cliff Branch 7 yard pass from Ken Stabler (Errol Mann kick),0,7
1,2.0,Raiders,Errol Mann 20 yard field goal,0,10
2,2.0,Raiders,Dave Casper 1 yard pass from Ken Stabler (Errol Mann kick),0,17
3,3.0,Raiders,Pete Banaszak 2 yard rush (Errol Mann kick),0,24
