,Quarter,Time,Tm,Detail,SDG,GNB
0,1.0,,Packers,Edgar Bennett 10 yard rush (Chris Jacke kick),0,7
1,1.0,,Chargers,John Carney 43 yard field goal,3,7
2,2.0,,Packers,Antonio Freeman 19 yard pass from Brett Favre (Chris Jacke kick),3,14
3,2.0,,Packers,William Henderson 8 yard pass from Brett Favre (Chris Jacke kick),3,21
4,3.0,,Packers,Keith Jackson 7 yard pass from Brett Favre (Chris Jacke kick),3,28
5,4.0,,Chargers,Tony Martin 9 yard pass from Stan Humphries (John Carney kick),10,28
6,4.0,,Packers,LeRoy Butler 90 yard interception return (Chris Jacke kick),10,35
7,4.0,,Packers,Desmond Howard 65 yard punt return (Chris Jacke kick),10,42
