,Quarter,Tm,Detail,CIN,DEN
0,1.0,Bengals,Bruce Coslet 71 yard pass from Virgil Carter (Horst Muhlmann kick),7,0
1,2.0,Bengals,Fred Willis 3 yard rush (Horst Muhlmann kick),14,0
2,3.0,Broncos,Jim Turner 37 yard field goal,14,3
3,3.0,Bengals,Horst Muhlmann 14 yard field goal,17,3
4,4.0,Broncos,Dwight Harrison 43 yard pass from Steve Ramsey (Jim Turner kick),17,10
5,4.0,Bengals,Essex Johnson 67 yard pass from Virgil Carter (Horst Muhlmann kick),24,10
