,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Don Cockroft 27 yard field goal,0,3
1,1.0,Oilers,Mack Alston 9 yard pass from Lynn Dickey (Skip Butler kick),7,3
2,2.0,Browns,Greg Pruitt 9 yard rush (Don Cockroft kick),7,10
3,3.0,Browns,Don Cockroft 41 yard field goal,7,13
4,3.0,Browns,Ken Brown 5 yard pass from Mike Phipps (Don Cockroft kick),7,20
