,Quarter,Tm,Detail,MIA,DAL
0,1.0,Cowboys,Timmy Newsome 8 yard pass from Steve Pelluer (Roger Ruzek kick),0,7
1,1.0,Dolphins,Troy Stradford 19 yard rush (Fuad Reveiz kick),7,7
2,2.0,Dolphins,Fuad Reveiz 26 yard field goal,10,7
3,3.0,Dolphins,Fuad Reveiz 33 yard field goal,13,7
4,4.0,Dolphins,James Pruitt 2 yard pass from Dan Marino (Fuad Reveiz kick),20,7
5,4.0,Cowboys,Timmy Newsome 18 yard pass from Steve Pelluer (Roger Ruzek kick),20,14
