,Quarter,Time,Tm,Detail,DAL,MIN
0,1.0,2:28,Vikings,Kai Forbath 48 yard field goal,0,3
1,2.0,5:29,Cowboys,Ezekiel Elliott 1 yard rush (Dan Bailey kick),7,3
2,3.0,2:10,Vikings,Kai Forbath 36 yard field goal,7,6
3,4.0,14:11,Vikings,Kai Forbath 33 yard field goal,7,9
4,4.0,10:22,Cowboys,Dez Bryant 8 yard pass from Dak Prescott (Dan Bailey kick),14,9
5,4.0,4:15,Cowboys,Dan Bailey 39 yard field goal,17,9
6,4.0,0:25,Vikings,Jerick McKinnon 3 yard pass from Sam Bradford (pass failed),17,15
