,Quarter,Time,Tm,Detail,TEN,CLE
0,1.0,12:01,Titans,Eddie George 1 yard rush (Joe Nedney kick),7,0
1,1.0,5:24,Titans,Derrick Mason 43 yard pass from Steve McNair (Joe Nedney kick),14,0
2,2.0,12:43,Titans,Joe Nedney 29 yard field goal,17,0
3,2.0,5:57,Browns,Kevin Johnson 10 yard pass from Tim Couch (Phil Dawson kick),17,7
4,3.0,8:06,Titans,Drew Bennett 5 yard pass from Steve McNair (Joe Nedney kick),24,7
5,3.0,5:51,Titans,Derrick Mason 71 yard pass from Steve McNair (Joe Nedney kick),31,7
6,4.0,1:23,Browns,Kevin Johnson 20 yard pass from Kelly Holcomb (Jamel White run),31,15
