,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,Hugh Gallarneau 37 yard pass from Sid Luckman (Frank Maznicki kick),7,0
1,3.0,Bears,Hugh Gallarneau 7 yard rush (Frank Maznicki kick),14,0
2,3.0,Bears,Danny Fortmann 69 yard fumble return (Frank Maznicki kick),21,0
3,4.0,Cardinals,Champ Seibold 4 yard fumble return (Pop Ivy kick),21,7
