,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Cullen Bryant 20 yard pass from Vince Ferragamo (Frank Corral kick),0,7
1,1.0,Rams,Frank Corral 28 yard field goal,0,10
2,1.0,Rams,Jim Youngblood 33 yard interception return (Frank Corral kick),0,17
3,2.0,Rams,Frank Corral 35 yard field goal,0,20
4,2.0,49ers,Dwight Clark 14 yard pass from Steve DeBerg (Ray Wersching kick),7,20
5,2.0,Rams,Willie Miller 35 yard pass from Vince Ferragamo (Frank Corral kick),7,27
6,2.0,Rams,Nolan Cromwell 24 yard interception return (Frank Corral kick),7,34
7,2.0,49ers,Earl Cooper 1 yard rush (Ray Wersching kick),14,34
8,3.0,49ers,Dwight Clark 5 yard pass from Joe Montana,20,34
9,3.0,Rams,Elvis Peacock 8 yard pass from Vince Ferragamo (Frank Corral kick),20,41
10,4.0,49ers,Freddie Solomon 38 yard pass from Joe Montana,26,41
11,4.0,Rams,Willie Miller 8 yard pass from Vince Ferragamo (Frank Corral kick),26,48
