,Quarter,Tm,Detail,NYG,WAS
0,1.0,Giants,Ron Johnson 1 yard rush (George Hunt kick),7,0
1,2.0,Redskins,Larry Brown 4 yard rush (Mark Moseley kick),7,7
2,2.0,Redskins,Roy Jefferson 31 yard pass from Billy Kilmer (Mark Moseley kick),7,14
3,2.0,Redskins,Ron McDole defensive fumble recovery in end zone (Mark Moseley kick),7,21
4,2.0,Redskins,Larry Jones 52 yard punt return (Mark Moseley kick),7,28
5,3.0,Giants,Jim Obradovich 2 yard pass from Craig Morton,13,28
6,4.0,Redskins,Roy Jefferson 9 yard pass from Billy Kilmer (Mark Moseley kick),13,35
7,4.0,Redskins,Charley Taylor 13 yard pass from Randy Johnson (Mark Moseley kick),13,42
8,4.0,Redskins,Alvin Reed 4 yard pass from Randy Johnson (Mark Moseley kick),13,49
