,Quarter,Time,Tm,Detail,PHI,NYG
0,1.0,,Giants,Dave Brown 3 yard rush (Brad Daluiso kick),0,7
1,1.0,,Eagles,Chris Boniol 48 yard field goal,3,7
2,2.0,,Giants,Chris Calloway 9 yard pass from Dave Brown (Brad Daluiso kick),3,14
3,3.0,,Giants,Tiki Barber 1 yard rush (Brad Daluiso kick),3,21
4,3.0,,Giants,Brad Daluiso 39 yard field goal,3,24
5,3.0,,Eagles,Ricky Watters 3 yard rush (Chris Boniol kick),10,24
6,4.0,,Eagles,Kevin Turner 14 yard pass from Rodney Peete (Chris Boniol kick),17,24
7,4.0,,Giants,Sam Garnes 95 yard interception return (Brad Daluiso kick),17,31
