,Quarter,Time,Tm,Detail,CIN,CHI
0,1.0,9:52,Bears,Martellus Bennett 8 yard pass from Jay Cutler (Robbie Gould kick),0,7
1,1.0,2:34,Bengals,A.J. Green 2 yard pass from Andy Dalton (Mike Nugent kick),7,7
2,2.0,2:53,Bengals,A.J. Green 45 yard pass from Andy Dalton (Mike Nugent kick),14,7
3,2.0,0:11,Bears,Robbie Gould 58 yard field goal,14,10
4,3.0,7:52,Bengals,BenJarvus Green-Ellis 5 yard rush (Mike Nugent kick),21,10
5,3.0,3:22,Bears,Matt Forte 1 yard rush (Robbie Gould kick),21,17
6,4.0,7:58,Bears,Brandon Marshall 19 yard pass from Jay Cutler (Robbie Gould kick),21,24
