,Quarter,Tm,Detail,PIT,DET
0,1.0,Lions,Leon Hart 16 yard pass from Bobby Layne (Bobby Layne kick),0,7
1,1.0,Lions,Gene Gedman 5 yard rush (Bobby Layne kick),0,14
2,2.0,Steelers,Sid Watson 1 yard rush (Sid Watson kick),7,14
3,2.0,Lions,Yale Lary 73 yard interception return (Bobby Layne kick),7,21
4,2.0,Lions,Jack Christiansen 66 yard punt return (Bobby Layne kick),7,28
5,2.0,Lions,Gene Gedman 2 yard rush (Bobby Layne kick),7,35
6,2.0,Lions,Bobby Layne 13 yard field goal,7,38
7,3.0,Lions,Jerry Reichow 41 yard pass from Harry Gilmer (Bobby Layne kick),7,45
