,Quarter,Time,Tm,Detail,ATL,SFO
0,1.0,0:57,49ers,Charlie Garner 8 yard rush (Wade Richey kick),0,7
1,2.0,2:43,49ers,Fred Beasley 2 yard rush (Wade Richey kick),0,14
2,2.0,1:52,49ers,"Safety, Young sacked Chandler in end zone",0,16
3,2.0,0:40,49ers,Wade Richey 23 yard field goal,0,19
4,3.0,5:41,Falcons,Winslow Oliver 58 yard punt return (Morten Andersen kick),7,19
5,4.0,13:08,49ers,Fred Beasley 1 yard rush (Wade Richey kick),7,26
