,Quarter,Time,Tm,Detail,WAS,TAM
0,1,,Redskins,Eddie Murray 37 yard field goal,3,0
1,2,,Redskins,Eddie Murray 28 yard field goal,6,0
2,3,,Buccaneers,Errict Rhett 10 yard rush (Michael Husted kick),6,7
3,4,5:49,Buccaneers,Alvin Harper 7 yard pass from Trent Dilfer (Michael Husted kick),6,14
