,Quarter,Tm,Detail,CHI,PHI
0,2.0,Bears,Bronko Nagurski unknown yard rush (Jack Manders kick),7,0
1,2.0,Bears,Jack Manders 5 yard rush (Jack Manders kick),14,0
2,2.0,Bears,George Corbett 50 yard pass from John Doehring (Jack Manders kick),21,0
3,4.0,Bears,Jack Manders 2 yard rush (Jack Manders kick),28,0
4,4.0,Eagles,John Kusko 70 yard rush (Stumpy Thomason kick),28,7
