,Quarter,Time,Tm,Detail,NYG,TEN
0,1.0,8:35,Titans,Frank Wycheck 14 yard pass from Steve McNair (Al Del Greco kick),0,7
1,2.0,8:48,Titans,Eddie George 7 yard rush (Al Del Greco kick),0,14
2,2.0,2:54,Titans,Derrick Mason 29 yard pass from Steve McNair (Al Del Greco kick),0,21
3,3.0,5:25,Giants,Ike Hilliard 14 yard pass from Kerry Collins (Jaret Holmes kick),7,21
4,4.0,12:26,Titans,Frank Wycheck 3 yard pass from Steve McNair (Al Del Greco kick),7,28
5,4.0,7:04,Giants,Dan Campbell 1 yard pass from Kerry Collins (Jaret Holmes kick),14,28
