,Quarter,Tm,Detail,WAS,SFO
0,1.0,49ers,Doug Cunningham 1 yard rush (Bruce Gossett kick),0,7
1,1.0,Redskins,Larry Brown 75 yard rush (Curt Knight kick),7,7
2,2.0,49ers,"Safety, Johnson tackled Brown in end zone",7,9
3,2.0,49ers,Ken Willard 7 yard rush (Bruce Gossett kick),7,16
4,2.0,Redskins,Curt Knight 18 yard field goal,10,16
5,3.0,49ers,Dick Witcher 21 yard pass from John Brodie (Bruce Gossett kick),10,23
6,4.0,Redskins,Jerry Smith 10 yard pass from Sonny Jurgensen (Curt Knight kick),17,23
7,4.0,49ers,Bruce Gossett 21 yard field goal,17,26
