,Quarter,Tm,Detail,SEA,MIA
0,1.0,Dolphins,Tony Nathan 14 yard rush (Uwe von Schamann kick),0,7
1,2.0,Seahawks,Norm Johnson 27 yard field goal,3,7
2,2.0,Dolphins,Jimmy Cefalo 34 yard pass from Dan Marino (Uwe von Schamann kick),3,14
3,2.0,Seahawks,Steve Largent 56 yard pass from Dave Krieg (Norm Johnson kick),10,14
4,3.0,Dolphins,Bruce Hardy 3 yard pass from Dan Marino (Uwe von Schamann kick),10,21
5,3.0,Dolphins,Mark Clayton 33 yard pass from Dan Marino (Uwe von Schamann kick),10,28
6,4.0,Dolphins,Uwe von Schamann 37 yard field goal,10,31
