,Quarter,Tm,Detail,CHI,DAL
0,1.0,Cowboys,Doug Dennison 2 yard rush (Efren Herrera kick),0,7
1,2.0,Cowboys,Billy Joe DuPree 28 yard pass from Roger Staubach (Efren Herrera kick),0,14
2,2.0,Cowboys,Efren Herrera 21 yard field goal,0,17
3,3.0,Cowboys,Tony Dorsett 23 yard rush (Efren Herrera kick),0,24
4,3.0,Cowboys,Efren Herrera 31 yard field goal,0,27
5,3.0,Cowboys,Tony Dorsett 7 yard rush (Efren Herrera kick),0,34
6,4.0,Cowboys,Efren Herrera 27 yard field goal,0,37
7,4.0,Bears,Steve Schubert 34 yard pass from Bob Avellini (Bob Thomas kick),7,37
