,Quarter,Tm,Detail,DEN,OAK
0,2.0,Broncos,Dave Preston 4 yard rush (Fred Steinfort kick),7,0
1,3.0,Broncos,Fred Steinfort 31 yard field goal,10,0
2,3.0,Broncos,Rick Parros 20 yard rush (Fred Steinfort kick),17,0
