,Quarter,Time,Tm,Detail,DAL,LAR
0,1.0,11:41,Rams,Malcolm Brown 1 yard rush (Sam Sloman kick),0,7
1,2.0,12:33,Cowboys,Ezekiel Elliott 19 yard pass from Dak Prescott (Greg Zuerlein kick),7,7
2,2.0,8:46,Rams,Sam Sloman 35 yard field goal,7,10
3,2.0,2:00,Rams,Sam Sloman 31 yard field goal,7,13
4,2.0,0:21,Cowboys,Ezekiel Elliott 1 yard rush (Greg Zuerlein kick),14,13
5,3.0,5:38,Rams,Malcolm Brown 2 yard rush (Sam Sloman kick),14,20
6,3.0,1:54,Cowboys,Greg Zuerlein 33 yard field goal,17,20
