,Quarter,Time,Tm,Detail,NYG,HOU
0,3.0,,Oilers,Billy Joe Tolliver 1 yard rush (Al Del Greco kick),0,7
1,3.0,,Giants,Mike Sherrard 40 yard pass from Kent Graham (David Treadwell kick),7,7
2,4.0,,Giants,David Treadwell 26 yard field goal,10,7
3,4.0,,Oilers,Al Del Greco 43 yard field goal,10,10
4,4.0,,Giants,David Treadwell 37 yard field goal,13,10
