,Quarter,Tm,Detail,MIA,NWE
0,1.0,Patriots,Sam Cunningham 34 yard pass from Jim Plunkett (Jeff White kick),0,7
1,1.0,Dolphins,Marlin Briscoe 11 yard pass from Bob Griese (Garo Yepremian kick),7,7
2,2.0,Patriots,Sam Cunningham 6 yard rush (Jeff White kick),7,14
3,2.0,Dolphins,Garo Yepremian 25 yard field goal,10,14
4,2.0,Dolphins,Garo Yepremian 37 yard field goal,13,14
5,3.0,Dolphins,Garo Yepremian 23 yard field goal,16,14
6,3.0,Dolphins,Mercury Morris 2 yard rush (Garo Yepremian kick),23,14
7,4.0,Dolphins,Larry Csonka 8 yard rush (Garo Yepremian kick),30,14
