,Quarter,Tm,Detail,SEA,CLE
0,1.0,Browns,Kevin Mack 1 yard rush (Matt Bahr kick),0,7
1,1.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),7,7
2,2.0,Seahawks,Norm Johnson 31 yard field goal,10,7
3,2.0,Seahawks,Norm Johnson 38 yard field goal,13,7
4,4.0,Seahawks,Norm Johnson 22 yard field goal,16,7
5,4.0,Browns,Matt Bahr 23 yard field goal,16,10
