,Quarter,Time,Tm,Detail,CHI,MIN
0,2.0,9:43,Bears,Leon Johnson 1 yard rush (Paul Edinger kick),7,0
1,2.0,0:44,Bears,Paul Edinger 30 yard field goal,10,0
2,3.0,7:52,Vikings,Gary Anderson 44 yard field goal,10,3
3,4.0,13:29,Bears,Paul Edinger 43 yard field goal,13,3
4,4.0,3:17,Vikings,Gary Anderson 21 yard field goal,13,6
