,Quarter,Tm,Detail,CIN,KAN
0,1.0,Chiefs,Nick Lowery 36 yard field goal,0,3
1,1.0,Bengals,Jim Breech 23 yard field goal,3,3
2,2.0,Chiefs,Bill Kenney 1 yard rush (Nick Lowery kick),3,10
3,2.0,Bengals,Jim Breech 31 yard field goal,6,10
4,2.0,Chiefs,Nick Lowery 43 yard field goal,6,13
5,3.0,Bengals,Jim Breech 23 yard field goal,9,13
6,3.0,Chiefs,Willie Scott 21 yard pass from Bill Kenney (Nick Lowery kick),9,20
7,4.0,Bengals,Cris Collinsworth 5 yard pass from Ken Anderson,15,20
