,Quarter,Time,Tm,Detail,NOR,SFO
0,2.0,4:52,49ers,Elvis Grbac 1 yard rush (Tony Zendejas kick),0,7
1,2.0,4:52,Saints,Chip Lohmiller 20 yard field goal,3,7
2,3.0,4:52,Saints,Mario Bates 11 yard rush (Wesley Walls pass from Tom Hodson),11,7
