,Quarter,Tm,Detail,CLE,NYG
0,1.0,Giants,Joe Morris 3 yard rush (Eric Schubert kick),0,7
1,1.0,Browns,Kevin Mack 42 yard rush (Matt Bahr kick),7,7
2,2.0,Browns,Earnest Byner 2 yard rush (Matt Bahr kick),14,7
3,2.0,Browns,Al Gross 37 yard interception return (Matt Bahr kick),21,7
4,2.0,Giants,Joe Morris 58 yard rush,21,13
5,2.0,Giants,Bobby Johnson 29 yard pass from Phil Simms (Eric Schubert kick),21,20
6,3.0,Giants,Eric Schubert 35 yard field goal,21,23
7,4.0,Giants,Joe Morris 5 yard rush (Eric Schubert kick),21,30
8,4.0,Giants,Eric Schubert 40 yard field goal,21,33
9,4.0,Browns,Clarence Weathers 25 yard pass from Gary Danielson (Matt Bahr kick),28,33
10,4.0,Browns,Earnest Byner 9 yard rush (Matt Bahr kick),35,33
