,Quarter,Tm,Detail,SIS,BKN
0,1.0,Dodgers,Jack McBride 6 yard rush,0,6
1,2.0,Dodgers,Mike Stramiello 33 yard interception return,0,12
2,2.0,Dodgers,Joe Vance 3 yard rush,0,18
3,4.0,Stapletons,Stu Clancy unknown yard rush,6,18
