,Quarter,Tm,Detail,GNB,WAS
0,2.0,Redskins,Ed Quirk 1 yard rush (Dick Poillon kick),0,7
1,2.0,Redskins,Dick Poillon 29 yard field goal,0,10
2,2.0,Redskins,Dick Poillon 21 yard field goal,0,13
3,3.0,Redskins,Sammy Baugh 8 yard rush (Dick Poillon kick),0,20
4,3.0,Redskins,John Hollar 1 yard rush (Dick Poillon kick),0,27
5,3.0,Redskins,Dick Poillon 30 yard field goal,0,30
