,Quarter,Tm,Detail,BKN,CHI
0,2.0,Bears,Jack Manders 11 yard pass from Bernie Masterson (Jack Manders kick),0,7
1,2.0,Bears,Jack Manders 13 yard pass from Bernie Masterson,0,13
2,2.0,Bears,Jack Manders 34 yard field goal,0,16
3,3.0,Dodgers,Jeff Barrett 54 yard pass from Ralph Kercheval (Joe Maniaci kick),7,16
4,3.0,Bears,George Wilson blocked punt recovery in end zone (Keith Molesworth kick),7,23
5,4.0,Bears,Dick Plasman unknown yard pass from Ray Buivid,7,29
