,Quarter,Tm,Detail,NYG,BKN
0,1.0,Giants,Chuck Avedisian blocked punt recovery in end zone,6,0
1,1.0,Giants,Bill Paschal 1 yard rush (Ward Cuff kick),13,0
2,4.0,Giants,Bill Paschal 3 yard rush (Ward Cuff kick),20,0
