,Quarter,Tm,Detail,RAM,PIT
0,1.0,Rams,David Ray 15 yard field goal,3,0
1,1.0,Rams,David Ray 10 yard field goal,6,0
2,1.0,Rams,Jack Snow 20 yard pass from Roman Gabriel (David Ray kick),13,0
3,2.0,Steelers,Larry Brown 3 yard pass from Terry Bradshaw (Roy Gerela kick),13,7
4,2.0,Rams,David Ray 28 yard field goal,16,7
5,3.0,Steelers,Ron Shanklin 2 yard pass from Terry Bradshaw (Roy Gerela kick),16,14
6,3.0,Rams,Larry Smith 1 yard rush (David Ray kick),23,14
