,Quarter,Tm,Detail,CLE,NOR
0,1.0,Browns,Bo Scott 2 yard rush (Don Cockroft kick),7,0
1,2.0,Saints,Charlie Durkee 28 yard field goal,7,3
2,2.0,Saints,Virgil Robinson 4 yard rush (Charlie Durkee kick),7,10
3,3.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),14,10
4,4.0,Browns,Walter Johnson defensive fumble recovery in end zone (Don Cockroft kick),21,10
5,4.0,Saints,Jim Strong 7 yard rush (Charlie Durkee kick),21,17
