,Quarter,Tm,Detail,HOU,CIN
0,1.0,Bengals,Don Bass 12 yard pass from Jack Thompson (Ian Sunter kick),0,7
1,2.0,Bengals,Ian Sunter 26 yard field goal,0,10
2,2.0,Oilers,Ronnie Coleman 1 yard rush (Toni Fritsch kick),7,10
3,4.0,Oilers,Toni Fritsch 27 yard field goal,10,10
4,4.0,Oilers,Toni Fritsch 29 yard field goal,13,10
