,Quarter,Tm,Detail,PIT,DET
0,2,Lions,Lloyd Cardwell 33 yard rush (Whizzer White kick),0,7
1,3,Steelers,Armand Niccolai 28 yard field goal,3,7
2,4,Steelers,Lou Tomasetti 3 yard rush (Armand Niccolai kick),10,7
