,Quarter,Tm,Detail,RAM,CRD
0,2.0,Rams,Johnny Wilson 57 yard pass from Owen Goodnight (Boyd Clay kick),7,0
1,2.0,Rams,Boyd Clay 21 yard field goal,10,0
2,3.0,Cardinals,Johnny Hall 4 yard rush,10,6
